10, 256, 0.000007, 0.000030
13, 256, 0.000007, 0.000031
17, 256, 0.000006, 0.000048
23, 256, 0.000006, 0.000035
31, 256, 0.000007, 0.000027
41, 256, 0.000006, 0.000030
55, 256, 0.000006, 0.000026
73, 256, 0.000006, 0.000036
97, 256, 0.000006, 0.000027
129, 256, 0.000006, 0.000027
172, 256, 0.000006, 0.000028
229, 256, 0.000006, 0.000027
305, 256, 0.000006, 0.000035
407, 256, 0.000006, 0.000035
543, 256, 0.000006, 0.000028
724, 256, 0.000006, 0.000031
965, 256, 0.000007, 0.000029
1287, 256, 0.000007, 0.000035
1716, 256, 0.000007, 0.000032
2288, 256, 0.000006, 0.000030
3051, 256, 0.000007, 0.000035
4069, 256, 0.000006, 0.000031
5426, 256, 0.000006, 0.000035
7236, 256, 0.000007, 0.000030
9649, 256, 0.000007, 0.000034
12867, 256, 0.000007, 0.000034
17158, 256, 0.000040, 0.000036
22881, 256, 0.000037, 0.000030
30512, 256, 0.000040, 0.000035
40688, 256, 0.000043, 0.000035
54258, 256, 0.000037, 0.000040
72354, 256, 0.000040, 0.000031
96486, 256, 0.000039, 0.000031
128666, 256, 0.000044, 0.000038
171579, 256, 0.000051, 0.000055
228804, 256, 0.000051, 0.000052
305115, 256, 0.000053, 0.000067
406877, 256, 0.000054, 0.000071
542579, 256, 0.000220, 0.000089
723541, 256, 0.000239, 0.000103
964858, 256, 0.000247, 0.000133
1286659, 256, 0.000322, 0.000175
1715787, 256, 0.000273, 0.000225
2288039, 256, 0.000800, 0.000286
3051149, 256, 0.000316, 0.000370
4068773, 256, 0.000354, 0.000488
5425796, 256, 0.000406, 0.000645
7235416, 256, 0.000448, 0.000776
9648583, 256, 0.000542, 0.000992
12866593, 256, 0.000623, 0.001277
17157878, 256, 0.000762, 0.001671
22880398, 256, 0.000948, 0.002153
30511502, 256, 0.001161, 0.002806
40687744, 256, 0.001467, 0.003679
54257980, 256, 0.001878, 0.004866
72354184, 256, 0.002443, 0.006418
96485856, 256, 0.003111, 0.008492
128665960, 256, 0.004080, 0.011266
171578816, 256, 0.005348, 0.014927
