10, 256, 8.192e-06, 7.5776e-05
13, 256, 8.192e-06, 5.7344e-05
17, 256, 8.192e-06, 3.072e-05
22, 256, 8.192e-06, 2.9696e-05
29, 256, 8.192e-06, 3.2768e-05
38, 256, 7.168e-06, 3.4816e-05
49, 256, 7.168e-06, 3.7888e-05
64, 256, 7.168e-06, 2.9696e-05
83, 256, 8.192e-06, 2.56e-05
108, 256, 7.168e-06, 2.8672e-05
140, 256, 6.144e-06, 2.7648e-05
182, 256, 7.168e-06, 3.1744e-05
237, 256, 7.168e-06, 3.4816e-05
308, 256, 7.168e-06, 2.8672e-05
400, 256, 6.144e-06, 2.7648e-05
520, 256, 7.168e-06, 2.7648e-05
676, 256, 7.168e-06, 2.8672e-05
879, 256, 6.144e-06, 3.1744e-05
1143, 256, 7.168e-06, 2.8672e-05
1486, 256, 7.168e-06, 2.8672e-05
1932, 256, 6.144e-06, 2.6624e-05
2512, 256, 6.144e-06, 3.584e-05
3266, 256, 7.168e-06, 3.1744e-05
4246, 256, 6.144e-06, 3.3792e-05
5520, 256, 6.144e-06, 2.7648e-05
7176, 256, 6.144e-06, 2.6624e-05
9329, 256, 7.168e-06, 3.2768e-05
12128, 256, 6.144e-06, 2.8672e-05
15766, 256, 7.168e-06, 2.7648e-05
20496, 256, 3.2288e-05, 2.6624e-05
26645, 256, 5.0464e-05, 2.7648e-05
34639, 256, 3.4208e-05, 2.7648e-05
45031, 256, 3.5648e-05, 2.7648e-05
58540, 256, 4.1824e-05, 2.7648e-05
